step,Cor_batch_ik_10
7199,0.9930993318557739
7249,1.0
7299,0.99988853931427
7349,1.0
7399,1.0
7449,0.9992768168449402
7499,1.0
7549,1.0
7599,1.0
7649,1.0
7699,1.0
7749,1.0
7799,1.0
7849,1.0
7899,1.0
7949,1.0
7999,1.0
8049,1.0
8099,1.0
8149,1.0
8199,1.0
8249,1.0
8299,1.0
8349,1.0
8399,1.0
8449,1.0
8499,1.0
8549,1.0
8599,1.0
8649,1.0
8699,1.0
8749,1.0
8799,1.0
8849,1.0
8899,1.0
8949,1.0
8999,1.0
9049,1.0
9099,1.0
9149,1.0
9199,1.0
9249,1.0
9299,1.0
9349,1.0
9399,1.0
9449,1.0
9499,1.0
9549,1.0
9599,1.0
9649,1.0
9699,1.0
9749,1.0
9799,1.0
9849,1.0
9899,1.0
9949,1.0
9999,1.0
10049,1.0
10099,1.0
10149,1.0
10199,1.0
10249,1.0
10299,1.0
10349,1.0
10399,1.0
10449,1.0
10499,1.0
10549,1.0
10599,1.0
10649,1.0
10699,1.0
10749,1.0
10799,1.0
10849,1.0
10899,1.0
10949,1.0
10999,1.0
11049,1.0
11099,1.0
11149,1.0
11199,1.0
11249,1.0
11299,1.0
11349,1.0
11399,1.0
11449,1.0
11499,1.0
11549,1.0
11599,1.0
11649,1.0
11699,1.0
11749,1.0
11799,1.0
11849,1.0
11899,1.0
11949,1.0
11999,1.0
12049,1.0
12099,1.0
12149,1.0
12199,1.0
12249,1.0
12299,1.0
12349,1.0
12399,1.0
12449,1.0
12499,1.0
12549,1.0
12599,1.0
12649,1.0
12699,1.0
12749,1.0
12799,1.0
12849,1.0
12899,1.0
12949,1.0
12999,1.0
13049,1.0
13099,1.0
13149,1.0
13199,1.0
13249,1.0
13299,1.0
13349,1.0
13399,1.0
13449,1.0
13499,1.0
13549,1.0
13599,1.0
13649,1.0
13699,1.0
13749,1.0
13799,1.0
13849,1.0
13899,1.0
13949,1.0
13999,1.0
14049,1.0
14099,1.0
14149,1.0
14199,1.0
14249,1.0
14299,1.0
14349,1.0
14399,1.0
14449,1.0
14499,1.0
14549,1.0
14599,1.0
14649,1.0
14699,1.0
14749,1.0
14799,1.0
14849,1.0
14899,1.0
14949,1.0
14999,1.0
15049,1.0
15099,1.0
15149,1.0
15199,1.0
15249,1.0
15299,1.0
15349,1.0
15399,1.0
15449,1.0
15499,1.0
15549,1.0
15599,1.0
15649,1.0
15699,1.0
15749,1.0
15799,1.0
15849,1.0
15899,1.0
15949,1.0
15999,1.0
16049,1.0
16099,1.0
16149,1.0
16199,1.0
16249,1.0
16299,1.0
16349,1.0
16399,1.0
16449,1.0
16499,1.0
16549,1.0
16599,1.0
16649,1.0
16699,1.0
16749,1.0
16799,1.0
16849,1.0
16899,1.0
16949,1.0
16999,1.0
17049,1.0
17099,1.0
17149,1.0
17199,1.0
17249,1.0
17299,1.0
17349,1.0
17399,1.0
17449,1.0
17499,1.0
17549,1.0
17599,1.0
17649,1.0
17699,1.0
17749,1.0
17799,1.0
17849,1.0
17899,1.0
17949,1.0
17999,1.0
18049,1.0
18099,1.0
18149,1.0
18199,1.0
18249,1.0
18299,1.0
18349,1.0
18399,1.0
18449,1.0
18499,1.0
18549,1.0
18599,1.0
18649,1.0
18699,1.0
18749,1.0
18799,1.0
18849,1.0
18899,1.0
18949,1.0
18999,1.0
19049,1.0
19099,1.0
19149,1.0
19199,1.0
19249,1.0
19299,1.0
19349,1.0
19399,1.0
19449,1.0
19499,1.0
