step,Cov_batch_ik_00_emb
49,0.04782749339938164
99,0.09068707376718521
149,0.08354946970939636
199,0.0695153996348381
249,0.12308764457702637
299,0.09553603082895279
349,0.10450628399848938
399,0.09416216611862183
449,0.081683449447155
499,0.08427676558494568
549,0.08494576811790466
599,0.08280202746391296
649,0.07930123805999756
699,0.06791209429502487
749,0.06571570783853531
799,0.0523393377661705
849,0.05861734598875046
899,0.03117452934384346
949,0.037325989454984665
999,0.033115237951278687
1049,0.03610425814986229
1099,0.02931831404566765
1149,0.023594481870532036
1199,0.0213713850826025
1249,0.018024947494268417
1299,0.01623132824897766
1349,0.015279056504368782
1399,0.01231700461357832
1449,0.011317535303533077
1499,0.010174295864999294
1549,0.010117463767528534
1599,0.009021567180752754
1649,0.0072906045243144035
1699,0.006879841908812523
1749,0.006424229126423597
1799,0.005877035669982433
1849,0.005155790131539106
1899,0.004841081332415342
1949,0.003641413524746895
1999,0.004387899301946163
2049,0.003330414416268468
2099,0.0030619145836681128
2149,0.002569286385551095
2199,0.0023037430364638567
2249,0.0021262317895889282
2299,0.0019917222671210766
2349,0.0015348546439781785
2399,0.0013357867719605565
2449,0.0013666399754583836
2499,0.001271651010029018
2549,0.0009844991145655513
2599,0.0009306420106440783
2649,0.0009271423914469779
2699,0.0008637563441880047
2749,0.0007176755461841822
2799,0.0006718852091580629
2849,0.0006894354010000825
2899,0.0005341007490642369
2949,0.0004811492108274251
2999,0.00047520120278932154
3049,0.000377287418814376
3099,0.00037690799217671156
3149,0.0003474141994956881
3199,0.00033498567063361406
3249,0.00030367480940185487
3299,0.0002292500139446929
3349,0.00023652397794649005
3399,0.0001948367280419916
3449,0.0002064331347355619
3499,0.00017782488430384547
3549,0.00016399587912019342
3599,0.00016723846783861518
3649,0.00012356996012385935
3699,0.0001388385280733928
3749,0.00012351424084044993
3799,0.00011559491395018995
3849,0.00010340161679778248
3899,9.305875573772937e-05
3949,8.112347131827846e-05
3999,7.81110575189814e-05
4049,7.277569238794968e-05
4099,6.234116881387308e-05
4149,5.803615931654349e-05
4199,4.9358317482983693e-05
4249,5.422448884928599e-05
4299,4.625199653673917e-05
4349,4.02154000767041e-05
4399,4.174275818513706e-05
4449,3.847083280561492e-05
4499,3.6331057344796136e-05
4549,3.321508120279759e-05
4599,3.0882310966262594e-05
4649,2.9460661608027294e-05
4699,2.7642703571473248e-05
4749,2.3532100385637023e-05
4799,2.2076970708440058e-05
4849,2.0372128346934915e-05
4899,2.237775333924219e-05
4949,1.896056710393168e-05
4999,1.7400190699845552e-05
5049,1.4881794413668104e-05
5099,1.6200574464164674e-05
5149,1.4844017641735263e-05
5199,1.4017549801792484e-05
5249,1.3126431440468878e-05
5299,1.2571593288157601e-05
5349,1.056682231137529e-05
5399,1.0121766536030918e-05
5449,9.586527994542848e-06
5499,9.672846317698713e-06
5549,1.0222702258033678e-05
5599,9.109373422688805e-06
5649,8.276084372482728e-06
5699,8.106482709990814e-06
5749,7.013783942966256e-06
5799,7.195551461336436e-06
5849,6.903994290041737e-06
5899,6.1047840063110925e-06
5949,6.535384727612836e-06
5999,5.302000317897182e-06
6049,5.448629508464364e-06
6099,5.382403742260067e-06
6149,4.956185421178816e-06
6199,4.178366907581221e-06
6249,4.766714937431971e-06
6299,4.954340056428919e-06
6349,4.4590306060854346e-06
6399,4.128290584048955e-06
6449,3.503389280012925e-06
6499,3.664428049887647e-06
6549,3.4032675557682524e-06
6599,3.526337877701735e-06
6649,3.784488853852963e-06
6699,3.2836994705576217e-06
6749,3.2008581456466345e-06
6799,3.4115062135242624e-06
6849,3.308879740870907e-06
6899,3.1356155432149535e-06
6949,2.9687807909795083e-06
6999,2.9565846944024088e-06
7049,2.8423426101653604e-06
7099,2.736277110670926e-06
7149,2.7476271498017013e-06
7199,2.6830878141481662e-06
7249,2.478720034559956e-06
7299,2.4672920062585035e-06
7349,2.4046978523983853e-06
7399,2.3728182441118406e-06
7449,2.536512056394713e-06
7499,2.389120254520094e-06
7549,2.3106695152819157e-06
7599,2.337116484341095e-06
7649,2.038285856542643e-06
7699,1.8201583316113101e-06
7749,2.143240408258862e-06
7799,2.0575371308950707e-06
7849,2.0410211618582252e-06
7899,1.931543238242739e-06
7949,2.118639486070606e-06
7999,1.8562305967861903e-06
8049,1.6720601934139268e-06
8099,1.961531097549596e-06
8149,1.9340398011991056e-06
8199,1.9062526916968636e-06
8249,1.8618511603563093e-06
8299,1.9226697531848913e-06
8349,1.8114167232852196e-06
8399,1.8657748341865954e-06
8449,1.7838012809079373e-06
8499,1.8765834965961403e-06
8549,1.7265710994252004e-06
8599,1.6886278899619356e-06
8649,1.7342354112770408e-06
8699,1.7174518234241987e-06
8749,1.6966749853963847e-06
8799,1.7071288311854005e-06
8849,1.6171362631212105e-06
8899,1.6603511312496266e-06
8949,1.5630221241735853e-06
8999,1.7034185475495178e-06
9049,1.6237768249993678e-06
